country,date,cases,deaths
Argentina,2022-08-26,0,0
Argentina,2022-08-27,61,0
Argentina,2022-08-28,0,0
Argentina,2022-08-29,0,0
Argentina,2022-08-30,0,0
Argentina,2022-08-31,0,0
Argentina,2022-09-01,0,0
Argentina,2022-09-02,37,0
Argentina,2022-09-03,0,0
Argentina,2022-09-04,0,0
Argentina,2022-09-05,0,0
Argentina,2022-09-06,0,0
Argentina,2022-09-07,0,0
Argentina,2022-09-08,0,0
Argentina,2022-09-09,51,0
Argentina,2022-09-10,0,0
Argentina,2022-09-11,0,0
Argentina,2022-09-12,0,0
Argentina,2022-09-13,0,0
Argentina,2022-09-14,0,0
Argentina,2022-09-15,0,0
Argentina,2022-09-16,0,0
Argentina,2022-09-17,44,0
Argentina,2022-09-18,0,0
Argentina,2022-09-19,0,0
Argentina,2022-09-20,0,0
Argentina,2022-09-21,0,0
Argentina,2022-09-22,0,0
Argentina,2022-09-23,61,0
Argentina,2022-09-24,0,0
Argentina,2022-09-25,0,0
Argentina,2022-09-26,0,0
Argentina,2022-09-27,0,0
Argentina,2022-09-28,0,0
Argentina,2022-09-29,0,0
Argentina,2022-09-30,70,0
Argentina,2022-10-01,0,0
Argentina,2022-10-02,0,0
Argentina,2022-10-03,0,0
Argentina,2022-10-04,0,0
Argentina,2022-10-05,0,0
Argentina,2022-10-06,0,0
Argentina,2022-10-07,83,0
Argentina,2022-10-08,0,0
Argentina,2022-10-09,0,0
Argentina,2022-10-10,0,0
Argentina,2022-10-11,0,0
Argentina,2022-10-12,1,0
Argentina,2022-10-13,44,0
Argentina,2022-10-14,0,0
Argentina,2022-10-15,0,0
Argentina,2022-10-16,0,0
Argentina,2022-10-17,0,0
Argentina,2022-10-18,0,0
Argentina,2022-10-19,0,0
Argentina,2022-10-20,0,0
Argentina,2022-10-21,0,0
Argentina,2022-10-22,0,0
Argentina,2022-10-23,96,0
Argentina,2022-10-24,0,0
Argentina,2022-10-25,7,0
Argentina,2022-10-26,0,0
Argentina,2022-10-27,0,0
Argentina,2022-10-28,0,0
Argentina,2022-10-29,48,0
Argentina,2022-10-30,0,0
Argentina,2022-10-31,0,0
Argentina,2022-11-01,0,0
Argentina,2022-11-02,0,0
Argentina,2022-11-03,0,0
Argentina,2022-11-04,71,0
Argentina,2022-11-05,0,0
Argentina,2022-11-06,0,0
Argentina,2022-11-07,0,0
Argentina,2022-11-08,0,0
Argentina,2022-11-09,0,0
Argentina,2022-11-10,0,0
Argentina,2022-11-11,0,0
Argentina,2022-11-12,0,0
Argentina,2022-11-13,0,0
Argentina,2022-11-14,0,0
Argentina,2022-11-15,62,0
Argentina,2022-11-16,54,0
Argentina,2022-11-17,0,0
Argentina,2022-11-18,0,0
Argentina,2022-11-19,3,0
Argentina,2022-11-20,0,0
Argentina,2022-11-21,0,0
Argentina,2022-11-22,0,0
Argentina,2022-11-23,29,0
Argentina,2022-11-24,0,0
Argentina,2022-11-25,0,0
Argentina,2022-11-26,0,0
Argentina,2022-11-27,0,0
Argentina,2022-11-28,0,0
Argentina,2022-11-29,1,1
Argentina,2022-11-30,49,1
Argentina,2022-12-01,0,1
Argentina,2022-12-02,0,1
Argentina,2022-12-03,0,1
Argentina,2022-12-04,0,1
Argentina,2022-12-05,0,1
Argentina,2022-12-06,0,1
Argentina,2022-12-07,28,1
Argentina,2022-12-08,0,1
Argentina,2022-12-09,0,1
Argentina,2022-12-10,0,1
Argentina,2022-12-11,0,1
Argentina,2022-12-12,0,1
Argentina,2022-12-13,0,1
Argentina,2022-12-14,13,1
Argentina,2022-12-15,0,1
Argentina,2022-12-16,0,1
Argentina,2022-12-17,2,1
Argentina,2022-12-18,0,1
Argentina,2022-12-19,0,1
Argentina,2022-12-20,0,1
Argentina,2022-12-21,0,1
Argentina,2022-12-22,0,1
Argentina,2022-12-23,0,1
Argentina,2022-12-24,0,1
Argentina,2022-12-25,0,1
Argentina,2022-12-26,0,1
Argentina,2022-12-27,0,1
Argentina,2022-12-28,31,1
Argentina,2022-12-29,0,1
Argentina,2022-12-30,0,1
Argentina,2022-12-31,0,1
Argentina,2023-01-01,0,1
Argentina,2023-01-02,0,1
Argentina,2023-01-03,0,1
Argentina,2023-01-04,0,1
Argentina,2023-01-05,0,1
Argentina,2023-01-06,6,1
Argentina,2023-01-07,1,2
Argentina,2023-01-08,0,2
Argentina,2023-01-09,0,2
Argentina,2023-01-10,0,2
Argentina,2023-01-11,12,2
Argentina,2023-01-12,0,2
Argentina,2023-01-13,0,2
Argentina,2023-01-14,0,2
Argentina,2023-01-15,0,2
Argentina,2023-01-16,0,2
Argentina,2023-01-17,0,2
Argentina,2023-01-18,15,2
Argentina,2023-01-19,0,2
Argentina,2023-01-20,0,2
Argentina,2023-01-21,0,2
Argentina,2023-01-22,0,2
Argentina,2023-01-23,0,2
